"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,294,0,6.732238,0,6.7061,0,0.9759152
0,297,0,6.658302,0,6.63312,0,0.976353
0,300,0,6.585739,0,6.561377,0,0.9767908
0,303,0,6.514434,0,6.49051,0,0.9772288
0,306,0,6.444243,0,6.421111,0,0.9776667
0,309,0,6.375288,0,6.352676,0,0.9781048
0,312,0,6.307455,0,6.28543,0,0.9785427
0,315,0,6.24073,0,6.21928,0,0.9789808
0,318,0,6.175109,0,6.154163,0,0.9794188
0,321,0,6.110549,0,6.090122,0,0.9798566
0,324,0,6.04703,0,6.027088,0,0.9802945
0,327,0,5.984529,0,5.965039,0,0.9807322
0,330,0,5.923015,0,5.90396,0,0.9811698
0,333,0,5.862467,0,5.843832,0,0.9816073
0,336,0,5.802862,0,5.784628,0,0.9820446
0,339,0,5.74418,0,5.726326,0,0.9824817
0,342,0,5.686396,0,5.668908,0,0.9829186
0,345,0,5.629494,0,5.612352,0,0.9833553
0,348,0,5.573454,0,5.556638,0,0.9837914
0,351,0,5.518253,0,5.501746,0,0.9842263
0,354,0,5.46387,0,5.44765,0,0.9846593
0,357,0,5.410281,0,5.394325,0,0.9850894
0,360,0,5.357462,0,5.341748,0,0.9855166
0,363,0,5.30539,0,5.289895,0,0.9859406
0,366,0,5.254043,0,5.238746,0,0.9863617
0,369,0,5.2034,0,5.188283,0,0.9867798
0,372,0,5.153442,0,5.13849,0,0.9871951
0,375,0,5.104152,0,5.089351,0,0.9876075
0,378,0,5.055515,0,5.040853,0,0.9880173
0,381,0,5.007516,0,4.99298,0,0.9884242
0,384,0,4.960141,0,4.94572,0,0.9888284
0,387,0,4.913376,0,4.89906,0,0.9892298
0,390,0,4.867208,0,4.852985,0,0.9896285
0,393,0,4.821624,0,4.807487,0,0.9900244
0,396,0,4.776612,0,4.76255,0,0.9904177
0,399,0,4.732161,0,4.718165,0,0.9908081
0,402,0,4.688257,0,4.674321,0,0.9911959
0,405,0,4.644893,0,4.631009,0,0.9915811
0,408,0,4.602054,0,4.588215,0,0.9919635
0,411,0,4.559733,0,4.545933,0,0.9923433
0,414,0,4.51792,0,4.504152,0,0.9927204
0,417,0,4.476603,0,4.462862,0,0.993095
0,420,0,4.435776,0,4.422057,0,0.9934669
0,423,0,4.395429,0,4.381725,0,0.9938362
0,426,0,4.355552,0,4.341859,0,0.9942029
0,429,0,4.316139,0,4.302452,0,0.994567
0,432,0,4.277181,0,4.263495,0,0.9949286
0,435,0,4.238669,0,4.224981,0,0.9952877
0,438,0,4.200598,0,4.186903,0,0.9956442
0,441,0,4.162958,0,4.149253,0,0.9959981
0,444,0,4.125743,0,4.112024,0,0.9963496
0,447,0,4.088947,0,4.075211,0,0.9966986
0,450,0,4.052561,0,4.038805,0,0.9970451
0,453,0,4.016581,0,4.002801,0,0.9973891
0,456,0,3.980999,0,3.967193,0,0.9977307
0,459,0,3.945808,0,3.931973,0,0.9980699
0,462,0,3.911005,0,3.897137,0,0.9984066
0,465,0,3.876581,0,3.86268,0,0.9987409
0,468,0,3.842532,0,3.828594,0,0.9990728
0,471,0,3.80885,0,3.794874,0,0.9994023
0,474,0,3.775532,0,3.761515,0,0.9997295
